id,city,lat,long,price_cleaned,bedrooms_num,bathrooms_num,luxury_ratio,premium_amenities,has_parking,has_view,has_balcony,neighbor_count,avg_area_rating,avg_location_rating,area_demand_volume,predicted_roi
936,North East Lincolnshire,53.555775,-0.0353414,215000,3,1.0,0.3333333333333333,0,0,0,0,52,4.31326923076923,4.284615415793199,1267,0.3714738883550349
907,North East Lincolnshire,53.551163,-0.0435703,229950,3,1.0,0.3333333333333333,0,0,0,0,52,4.31326923076923,4.284615415793199,1267,0.3714738883550349
979,North East Lincolnshire,53.550392,-0.0410618,175000,3,1.0,0.3333333333333333,0,0,0,0,52,4.31326923076923,4.284615415793199,1267,0.3714738883550349
1063,North East Lincolnshire,53.551243,-0.0411891,224950,3,1.0,0.3333333333333333,0,0,0,0,52,4.31326923076923,4.284615415793199,1267,0.3714738883550349
1101,North East Lincolnshire,53.55095,-0.032863,215000,3,1.0,0.3333333333333333,0,0,0,0,52,4.31326923076923,4.284615415793199,1267,0.3714738883550349
4914,Ambleside,54.428257,-2.9655347,685000,4,2.0,0.5,0,0,0,0,77,4.051558441558442,4.133766261014071,2543,0.37147142637514485
14664,Cambridgeshire,52.230076,-0.2397273,126000,1,1.0,1.0,0,0,0,0,8,4.78625,4.850000083446503,809,0.37138976918113203
7351,York,53.931854,-1.1131903,335000,2,2.0,1.0,0,1,0,0,264,4.653219696969697,4.721212165825294,23091,0.37136584686079926
7404,York,53.94322,-1.0895917,312500,2,2.0,1.0,0,1,0,0,276,4.661014492753624,4.7257246858831765,23051,0.37136584686079926
13695,Derbyshire,52.89798,-1.2677732,150000,2,1.0,0.5,0,0,0,1,23,4.369565217391305,4.386956588081691,1529,0.3713521795268837
12895,Hertfordshire,51.784603,-0.0417317,180000,1,1.0,1.0,0,0,0,0,17,4.5464705882352945,4.5529411820804375,465,0.3712625679072326
16336,Bournemouth,50.720375,-1.8810549,120000,3,1.0,0.3333333333333333,0,0,0,0,279,4.530179211469535,4.533333368198846,14721,0.3712135103164526
16622,Newquay,50.426205,-5.054667,625000,2,2.0,1.0,0,0,1,0,207,4.486280193236716,4.522222267832733,8411,0.37120624611396313
21217,Barton on Sea,50.736008,-1.6642566,365000,3,1.0,0.3333333333333333,0,0,1,0,68,4.431911764705882,4.4676470896776985,4077,0.37112343744771903
11571,Pembrokeshire,51.841644,-4.7291822,375000,4,2.0,0.5,0,0,0,0,13,4.893076923076923,4.900000022007869,554,0.3711222143374289
11645,Pembrokeshire,51.841644,-4.7291822,325000,4,2.0,0.5,0,0,0,0,13,4.893076923076923,4.900000022007869,554,0.3711222143374289
6616,Norfolk,52.656513,0.3860497,250000,2,1.0,0.5,0,1,0,0,4,4.88,4.850000023841858,552,0.3711083506533991
11852,Pembrokeshire,51.900238,-4.9708586,280000,2,1.0,0.5,0,0,0,0,10,4.4239999999999995,4.400000095367432,578,0.3710810380953322
19341,West Lothian,55.888474,-3.5323787,229000,3,2.0,0.6666666666666666,0,0,0,1,10,4.700999999999999,4.6400000095367435,411,0.3710722025012013
21702,Looe,50.35599,-4.4574127,575000,4,2.0,0.5,0,0,1,0,51,4.755686274509804,4.7921568833145445,1211,0.3710546726484862
4937,Argyll and Bute,56.024902,-5.5663166,220000,3,1.0,0.3333333333333333,0,0,0,0,1,3.0,3.0,2,0.3710461024091772
4959,Argyll and Bute,56.024902,-5.5663166,70000,3,1.0,0.3333333333333333,0,0,0,0,1,3.0,3.0,2,0.3710461024091772
7245,West Yorkshire,53.707077,-1.6537884,120000,2,1.0,0.5,0,0,0,1,12,3.9683333333333337,3.900000015894572,1194,0.37104241836338353
21780,Looe,50.356007,-4.4529424,1850000,5,4.0,0.8,0,0,1,0,28,4.657142857142858,4.703571455819266,512,0.37102991649132055
22589,Rhondda Cynon Taff,51.676697,-3.373949,130000,3,1.0,0.3333333333333333,0,0,0,1,15,4.016,4.046666749318441,126,0.37102753170610886
22415,Rhondda Cynon Taff,51.6735,-3.3736496,130000,3,1.0,0.3333333333333333,0,0,0,1,15,4.016,4.046666749318441,126,0.37102753170610886
22394,Rhondda Cynon Taff,51.6754,-3.3754325,130000,3,1.0,0.3333333333333333,0,0,0,1,15,4.016,4.046666749318441,126,0.37102753170610886
19186,West Lothian,55.86274,-3.5036526,479000,5,3.0,0.6,0,1,0,0,1,4.4,4.199999809265137,0,0.37090332186081787
